a,b,c,d,e,f,g,h,i,j
0.7156166687584721,0.8020695171710522,0.6857443583403174,0.28090782207721143,0.8548544652149971,0.2999395387884327,0.2008019722333131,0.2725172556154626,0.5037815867949819,0.7448092496790304
0.5719166671633407,0.8536241787410372,0.9219694207685133,0.6572363081861337,0.9899266958695019,0.4481107699883161,0.492250665519922,0.2288990183573687,0.6971476550005327,0.8255712496801784
0.3921280899065628,0.46318824406129244,0.9421325816968006,0.032223154336037174,0.7569271841792382,0.5680193520695394,0.3148262315756747,0.5049496389558663,0.6629050869744583,0.5723632012671738
0.5000200442996237,0.6255036404528465,0.5558852076325821,0.8794064772208079,0.9125578826986811,0.7575888561746814,0.6571750381851091,0.7353560584206444,0.7484603826749189,0.39988219051984997
0.4984129832806842,0.1743536905566434,0.5951069872869126,0.11389070312692406,0.9433552041887677,0.9119455365175255,0.6228068606721231,0.5221327321955926,0.9348114303058866,0.3957621464497738
0.129889651576928,0.7710073547677075,0.8981539102212743,0.202128178786235,0.482614079244749,0.05808213743898627,0.8984356749332174,0.8287896021701056,0.08657244276931031,0.8281573380076758
0.06170607712020382,0.8327497308304294,0.24583830575932208,0.534890473128576,0.06422460478550962,0.9904833403334331,0.9656316216231485,0.1516883248340356,0.5796251596375698,0.10714476282991392
0.2763851826009672,0.6012147670919161,0.37197278206048867,0.9258503207905946,0.9236919107793323,0.33613859351365705,0.676595757934852,0.9024290444089886,0.08179876712427392,0.9121866477653718
0.7656883789816328,0.6683342000637001,0.009630984656231134,0.4086120326229289,0.19447349651795154,0.2144116597791733,0.889493121997295,0.6287678713726427,0.09246321424354265,0.21334532043699705
0.8515111207550019,0.37001030430433834,0.2604516491297828,0.6714137322472646,0.8649569277667764,0.9798211575540755,0.5463104356472162,0.24642454728524255,0.515466392559692,0.576299600293447
